n,h,m,s,znak,dd,dm,ds,mV,B-V
10    Cet,0,26,37.4,-,0,2,59,6.19,0.9
--,0,5,3.8,-,0,30,11,6.29,1.1
14    Cet,0,35,32.8,-,0,30,20,5.93,0.44
20    Cet,0,53,0.5,-,1,8,39,4.77,1.57
--,0,24,29.7,-,2,13,9,6.07,1.22
--,0,8,12.1,-,2,26,52,6.07,1.38
--,0,7,44.1,-,2,32,56,6.43,-0.14
29    Psc,0,1,49.4,-,3,1,39,5.1,-0.12
13    Cet,0,35,14.9,-,3,35,34,5.2,0.56
12    Cet,0,30,2.4,-,3,57,26,5.72,1.56
--,0,40,42.4,-,4,21,7,5.91,1.1
--,0,45,24.1,-,4,37,45,6.15,1.62
--,0,10,18.8,-,5,14,55,5.84,0.98
33    Psc,0,5,20.1,-,5,42,27,4.61,1.04
30    Psc,0,1,57.6,-,6,0,51,4.41,1.63
--,0,55,42.4,-,7,20,50,5.85,1.52
--,0,14,27.6,-,7,46,50,5.12,1.62
--,0,18,41.8,-,8,3,10,6.46,0.68
21    Cet,0,54,17.6,-,8,44,27,6.16,0.92
8Iot Cet,0,19,25.7,-,8,49,26,3.56,1.22
--,0,8,17.4,-,8,49,26,5.99,1.04
--,0,14,54.5,-,9,34,11,5.75,-0.08
3    Cet,0,4,30.1,-,10,30,34,4.94,1.63
17Phi1Cet,0,44,11.4,-,10,36,34,4.76,1.01
19Phi2Cet,0,50,7.6,-,10,38,40,5.19,0.5
22Phi3Cet,0,56,1.5,-,11,16,0,5.31,1.52
23Phi4Cet,0,58,43.9,-,11,22,48,5.61,0.97
--,0,43,50.2,-,12,0,42,6.02,1.1
9    Cet,0,22,51.8,-,12,12,34,6.39,0.66
--,0,10,42.8,-,12,34,48,5.85,1.01
18    Cet,0,45,28.7,-,12,52,51,6.15,0.61
--,0,49,25.6,-,13,33,41,5.59,1.3
--,0,2,7.3,-,14,40,34,7.1,1.8
--,0,29,51.9,-,14,51,51,6.14,0.37
--,0,36,3,-,14,58,25,6.45,1.06
6    Cet,0,11,15.9,-,15,28,5,4.89,0.49
--,0,45,41.7,-,16,25,27,6.47,0.31
--,0,40,28.6,-,16,31,1,6.49,0.92
--,0,4,19.7,-,16,31,44,5.78,1.1
2    Cet,0,3,44.4,-,17,20,10,4.55,-0.05
--,0,7,18.2,-,17,23,11,6.19,0.14
--,0,8,33.4,-,17,34,39,6.06,1.67
--,0,12,10,-,17,56,18,5.25,1.48
16Bet Cet,0,43,35.4,-,17,59,12,2.04,1.02
--,0,47,43.3,-,18,3,41,5.7,1.3
7    Cet,0,14,38.4,-,18,55,58,4.44,1.66
--,0,17,32.6,-,19,3,4,6.45,0.37
--,0,2,57.6,-,20,2,46,6.25,0.53
--,0,21,46.3,-,20,3,28,5.12,1.82
--,0,16,42.5,-,20,12,38,6.47,-0.09
--,0,28,21.1,-,20,20,6,6.43,0.59
--,0,48,1.1,-,21,43,21,5.57,-0.06
--,0,44,44.4,-,22,0,22,5.24,0.33
--,0,7,46.8,-,22,30,32,5.94,0.14
--,0,46,11.8,-,22,31,19,5.5,0.98
--,0,36,6.9,-,22,50,33,6.06,0.29
--,0,6,50.1,-,23,6,27,6.18,0.38
--,0,49,33.4,-,23,21,42,6.28,0.13
--,0,30,22.7,-,23,47,16,5.19,0.12
--,0,40,32.9,-,23,48,16,6.14,0.7
--,0,52,40.6,-,24,0,21,5.46,1.24
--,0,49,13.9,-,24,8,11,5.9,0.95
--,0,3,7.7,-,24,8,43,6.44,1.18
--,0,37,20.7,-,24,46,2,5.57,0.72
--,0,53,12.4,-,24,46,37,6.46,0.44
--,0,27,14.7,-,25,32,50,5.98,1.03
--,0,13,42.1,-,26,1,19,5.94,1.55
--,0,13,44.2,-,26,17,5,6.31,1.48
--,0,55,55.5,-,27,46,32,6.1,1.67
Kap2Scl,0,11,34.4,-,27,47,59,5.41,1.34
Kap1Scl,0,9,21,-,27,59,16,5.42,0.42
Iot Scl,0,21,31.2,-,28,58,54,5.18,1
--,0,4,20.3,-,29,16,7,6.4,0
Alp Scl,0,58,36.4,-,29,21,27,4.31,-0.16
--,0,33,41.1,-,29,33,30,5.55,1.27
Zet Scl,0,2,19.9,-,29,43,13,5.01,-0.15
--,0,23,12.6,-,31,2,10,6.55,0
--,0,16,8.9,-,31,26,47,5.67,1.35
--,0,29,48.9,-,32,7,0,6.57,1.34
Eta Scl,0,27,55.7,-,33,0,26,4.81,1.64
--,0,8,3.5,-,33,31,46,5.68,1.12
--,0,39,57.9,-,33,57,42,6.69,0.51
--,0,14,58.2,-,34,54,16,6.17,1.34
The Scl,0,11,44,-,35,7,59,5.25,0.44
Lam2Scl,0,44,12.1,-,38,25,18,5.9,1.16
Lam1Scl,0,42,42.9,-,38,27,48,6.06,-0.03
--,0,28,26.4,-,39,54,54,5.43,1.56
--,0,30,27.8,-,40,56,22,6.19,0.33
Alp Phe,0,26,17,-,42,18,22,2.39,1.09
--,0,44,57.1,-,42,40,36,5.94,0.28
--,0,18,42.6,-,43,14,7,6.33,1.21
--,0,50,3.7,-,43,23,41,6.48,0.29
Kap Phe,0,26,12.2,-,43,40,48,3.94,0.17
--,0,51,52.1,-,43,42,33,6.9,0.35
--,0,0,19.2,-,44,17,26,6.29,0.76
--,0,39,52,-,44,47,48,6.01,1.14
Eps Phe,0,9,24.7,-,45,44,51,3.88,1.03
Mu  Phe,0,41,19.6,-,46,5,6,4.59,0.97
--,0,48,56.7,-,46,41,52,6.27,0.9
--,0,45,45.6,-,47,33,6,5.8,0.64
Lam2Phe,0,35,41.1,-,48,0,3,5.51,0.44
--,0,30,26.1,-,48,12,54,5.69,0.35
Lam1Phe,0,31,25,-,48,48,13,4.77,0.02
Tau Phe,0,1,4.5,-,48,48,36,5.71,0.91
--,0,6,19,-,49,4,30,5.7,0.52
--,0,1,20,-,50,20,14,5.53,1.6
--,0,28,43.1,-,50,31,58,6.26,1.09
Rho Phe,0,50,41.2,-,50,59,13,5.22,0.36
--,0,34,27.8,-,52,22,23,5.57,0.47
--,0,45,0,-,53,42,54,6.15,0.53
--,0,9,2.4,-,54,0,7,6.33,0.74
--,0,37,18.1,-,54,23,39,6.41,1
--,0,35,33.4,-,54,49,19,6.06,1.01
Xi  Phe,0,41,46.4,-,56,30,6,5.7,0.2
Eta Phe,0,43,21.2,-,57,27,47,4.36,0
--,0,40,26.4,-,59,27,16,5.89,0.55
--,0,42,41.8,-,60,15,45,5.98,1.32
--,0,58,22.4,-,60,41,47,6.23,0.1
