name,nig,h,m,s,dd,dm,ds,V,B,kkk
HD 224750,--,0,0,19.095,-44,17,26.03,6.32,7.089,
HD 224758,--,0,0,23.901,26,55,5.17,6.434,6.925,
HD 224784,--,0,0,30.887,59,33,34.85,6.177,7.211,
V* CG And,--,0,0,43.635,45,15,12,6.347,6.299,
* tau Phe,--,0,1,4.583,-48,48,35.55,5.698,6.62,
HD 224870,--,0,1,19.251,49,58,53.6,6.217,7.185,
HD 224865,--,0,1,20.12,-50,20,14.55,5.524,7.12,
* tet Oct,--,0,1,35.702,-77,3,56.61,4.783,6.049,
HD 224893,--,0,1,37.015,61,13,22.08,5.567,5.966,
HD 224890,--,0,1,39.457,73,36,42.65,6.492,6.681,
HD 224906,--,0,1,43.849,42,22,1.71,6.24,6.197,
*  29 Psc,--,0,1,49.447,-3,1,39.02,5.1,4.98,
*  30 Psc,--,0,1,57.615,-6,0,50.67,4.41,6.04,
*  85 Peg,--,0,2,10.341,27,4,54.48,5.75,6.42,
* zet Scl,--,0,2,19.93,-29,43,13.6,5.022,4.879,
*  31 Psc,--,0,2,24.167,8,57,24.57,6.325,6.497,
* c Psc  ,--,0,2,29.702,8,29,7.67,5.69,5.996,
HD 225009,--,0,2,36.092,66,5,56.27,5.842,6.912,
HD 225045,--,0,2,57.489,-20,2,45.18,6.238,6.753,
HD 225069,--,0,3,7.854,-24,8,42.52,6.443,7.635,
HD 225094,--,0,3,25.714,63,38,25.88,6.22,6.56,
*   2 Cet,--,0,3,44.388,-17,20,9.57,4.536,4.483,
V* V398 C,ep               ,0,3,51.64,66,42,43.87,6.323,7.934,
*   9 Cas,--,0,4,13.662,62,17,15.59,5.884,6.154,
HD 225197,--,0,4,19.791,-16,31,44.54,5.769,6.872,
HD 225200,--,0,4,20.317,-29,16,7.76,6.39,6.4,
*   3 Cet,--,0,4,30.118,-10,30,34.28,4.924,6.541,
HD 225218,--,0,4,36.587,42,5,33.11,6.12,6.27,
HD 225253,--,0,4,41.308,-71,26,12.81,5.585,5.477,
HD 225216,--,0,4,41.98,67,9,59.2,5.676,6.741,
HD 225239,--,0,4,53.725,34,39,34.8,6.11,6.74,
HD 225276,--,0,4,55.998,26,38,55.56,6.25,7.65,
HD 225292,--,0,5,1.186,27,40,29.23,6.462,7.419,
HD      6,--,0,5,3.823,0,30,10.93,6.298,7.39,
V* V567 C,as               ,0,5,6.151,61,18,50.29,5.791,5.71,
*  33 Psc,--,0,5,20.142,-5,42,27.43,4.61,5.65,
*  86 Peg,--,0,5,41.962,13,23,46.56,5.537,6.439,
HD    142,--,0,6,19.175,-49,4,30.68,5.76,6.3,
*  10 Cas,--,0,6,26.538,64,11,46.17,5.59,5.56,
HD    203,--,0,6,50.087,-23,6,27.15,6.173,6.547,
HD    256,--,0,7,18.262,-17,23,13.24,6.23,6.33,
*   4 Cet,--,0,7,44.111,-2,32,55.25,6.43,6.29,
HD    319,--,0,7,46.9,-22,30,30.81,5.923,6.055,
HD    344,--,0,8,3.487,-33,31,45.57,5.662,6.787,
*   5 Cet,--,0,8,12.096,-2,26,51.74,6.22,7.58,
HD    360,--,0,8,17.533,-8,49,26.8,5.98,7.014,
* alf And,--,0,8,23.26,29,5,25.55,2.06,1.95,
HD    371,--,0,8,32.865,63,12,14.52,6.42,7.422,
V* CF Cet,--,0,8,33.497,-17,34,41.36,6.13,7.8,
HD    417,--,0,8,52.136,25,27,46.74,6.246,7.227,
HD    434,--,0,9,0.16,28,14,51.14,6.47,6.7,
*  87 Peg,--,0,9,2.425,18,12,43.07,5.555,6.607,
HD    469,--,0,9,2.384,-54,0,6.96,6.33,7.07,
* bet Cas,--,0,9,10.685,59,8,59.21,2.27,2.61,
BD+78    ,1,0,9,20.174,79,42,52.36,6.047,6.24,
* eps Phe,--,0,9,24.639,-45,44,50.71,3.87,4.89,
HD    565,--,0,9,52.116,-62,17,48.46,6.33,6.48,
*  34 Psc,--,0,10,2.203,11,8,44.93,5.53,5.456,
* gam03 O,ct               ,0,10,2.177,-82,13,26.57,5.283,6.329,
HD    587,--,0,10,18.872,-5,14,54.92,5.844,6.828,
*  22 And,--,0,10,19.247,46,4,20.18,5.04,5.44,
HD    645,--,0,10,42.834,-12,34,47.64,5.849,6.861,
*   6 Cet,--,0,11,15.851,-15,28,4.74,4.89,5.38,
* kap02 S,cl               ,0,11,34.421,-27,47,59,5.404,6.756,
* tet Scl,--,0,11,44.021,-35,7,59.23,5.239,5.661,
HD    743,--,0,11,59.085,48,9,8.63,6.162,7.635,
HD    787,--,0,12,9.985,-17,56,17.7,5.265,6.74,
HD    874,--,0,13,9.502,16,55,17.24,6.5,7.56,
* gam Peg,--,0,13,14.151,15,11,0.94,2.84,2.61,
HD   1032,--,0,13,19.623,-84,59,38.32,5.77,7.49,
HD    895,--,0,13,23.913,26,59,14.98,6.277,6.952,
HD    942,--,0,13,42.244,-26,1,20.46,5.937,7.476,
HD    943,--,0,13,44.379,-26,17,5.87,6.119,7.612,
HD    952,--,0,14,2.278,33,12,21.75,6.25,6.24,
HD   1002,--,0,14,20.199,-27,31,53.1,6.46,7.1,
V* AD Cet,--,0,14,27.629,-7,46,49.9,5.12,6.74,
* chi Peg,--,0,14,36.165,20,12,24.12,4.8,6.38,
*   7 Cet,--,0,14,38.417,-18,55,58.31,4.46,6.12,
HD   1064,--,0,14,54.517,-9,34,10.43,5.749,5.67,
HD   1048,--,0,14,55.898,22,17,3.21,6.234,6.235,
HD   1089,--,0,14,58.262,-34,54,15.21,6.159,7.526,
*  35 Psc,--,0,14,58.84,8,49,15.46,6.01,6.32,
HD   1075,--,0,15,6.95,31,32,8.61,6.34,7.92,
HD   1083,--,0,15,10.565,27,17,0.39,6.342,6.332,
V* S Scl ,--,0,15,22.267,-32,2,42.96,6.2,9.98,
HD   1142,--,0,15,54.84,61,0,0.62,6.432,7.276,
HD   1187,--,0,16,8.867,-31,26,47.01,5.642,6.992,
CCDM J001,62+7657AB        ,0,16,13.94,76,57,2.71,6.389,6.323,
HD   1185,--,0,16,21.529,43,35,42.18,6.15,6.188,
*  36 Psc,--,0,16,34.041,8,14,24.55,6.121,7.042,
